source_candidates_csv,run_id,method,instance,seed,generation,rank,storage_total,pick_faces,interior_storage,retrieval_penalty,candidate_id,layout_signature
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,213,97,116,294.0,2,3f71d3604ac758ed2fc64782659a5c5b78ec10af
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,213,97,116,294.0,3,8fd75ce86e637920b9767990b8639d15c3a9c885
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,219,92,127,286.0,4,83db31f9197a36d619843bf3d29485607fd03847
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,219,91,128,270.0,5,e1f0e772df9443d724aa36f576d5bb596885ec2d
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,219,91,128,270.0,6,6c72f66ef47291931136417cf64cd419a5d3ab85
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,207,104,103,141.0,10,9d3d21d36a6671b620f72af434eb1fd0be3a0f4e
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,207,104,103,141.0,11,17566a936b0a83eaa90be3aca0f6ae7aafd53551
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,2,207,104,103,176.0,12,f03482f4c3e8943fd1d8a7356a54c2341286baac
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,0,204,110,94,69.0,13,11d3ebe88426626fb11b9066022940c913788a88
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,210,110,100,314.0,14,7c22ed17e15280a103e16716df861986b4af7657
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,2,210,110,100,237.0,15,96063cafe471ac7a318b79889f6ae378965ee561
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,210,110,100,195.0,16,183311722f48149ec51b573d1a5f0e3981811496
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,0,222,120,102,118.0,17,c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,0,222,115,107,74.0,18,313e3f681b33bc30f90444b0b1b5dd821fed5c79
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,225,115,110,149.0,19,ae825089721f98e0d9805014401719023ff6a664
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,225,115,110,149.0,20,0a75f2b327085dc5778e0a33aad21dbd318e0a85
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,3,225,93,132,226.0,21,3fc0967e8cf1acc9db002871d4c6fad00e132dd7
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,0,222,120,102,118.0,22,819b823d42066f1be4d37e503ecee22d07e5a6b0
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,222,120,102,151.0,23,8ba645c74da6577ac7820f92db785eac755acc05
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,0,1,195,97,98,168.0,24,a359334c37accd32e3770b116cdabee633d77ada
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,1,1,222,120,102,151.0,1,8ba645c74da6577ac7820f92db785eac755acc05
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,1,0,222,120,102,118.0,2,c7821f85912c8e5c3b6ca7ddc3262e68ecac8a29
revision_30seed_final_clean_run\p11\nsga2\profile__p11__nsga2__AT_S_AW3__s101\runs\AT_S_comercial_layout_AW_3\seed_101\candidates.csv,proposed_nsga2_bs_AT_S_comercial_layout_AW_3_seed_101,proposed_nsga2_bs,AT_S_comercial_layout_AW_3,101,1,1,222,120,102,151.0,3,2035ca093874466b8e7b1e9f7aa71b738528a47d
