phase,method_or_variant,instance,seed,command,status,started_at,finished_at,runtime_seconds,return_code,output_dir,log_path,error_message
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,101,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 101 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s101 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s101,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s101.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,102,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 102 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s102 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s102,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s102.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,103,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 103 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s103 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s103,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s103.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,104,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 104 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s104 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s104,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s104.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,105,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 105 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s105 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s105,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s105.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,106,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 106 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s106 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s106,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s106.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,107,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 107 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s107 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s107,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s107.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,108,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 108 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s108 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s108,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s108.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,109,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 109 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s109 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s109,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s109.log,
phase12b,V1_fixed_sorting,AT_S_comercial_layout_AW_3,110,C:\Users\elahi\Desktop\WHL_Opt_wd_OPL\.venv\Scripts\python.exe -m whl_experiments.run_experiment_manager --instances AT_S_comercial_layout_AW_3 --seeds 110 --method proposed_nsga2_bs --experiment-id p12b__V1_fixsort__AT_S_AW3__s110 --output-dir results\revision_final_30seed_nofg\p12b\V1_fixsort --budget-policy auto_from_instance --archive-layouts both --archive-rank-max 3 --no-figures --profile-light --save-generation-objectives --ablation-variant V1_fixed_sorting_PF_LS_RP --sorting-rule-mode fixed --fixed-sorting-rule PF_LS_RP --adaptive-weight-mode adaptive --mutation-mode weighted --initialization-spacing-mode feasible_start_adaptive_spacing,dry_run,,,,,results\revision_final_30seed_nofg\p12b\V1_fixsort\p12b__V1_fixsort__AT_S_AW3__s110,results\revision_final_30seed_nofg\logs\p12b__V1_fixsort__AT_S_AW3__s110.log,
